City_ID,City,Country,Max Temp,Current Decription,Lat,Lng,Hotel Name
30,Korla,CN,89.78,overcast clouds,41.7597,86.1469,Gulisitan Hotel
31,Urumqi,CN,72.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
32,Kapaa,US,78.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
33,Ippy,CF,70.11,moderate rain,6.2679,21.2247,
34,Rikitea,PF,73.08,overcast clouds,-23.1203,-134.9692,People ThankYou
36,Yulara,AU,53.55,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
37,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
38,Lagoa,PT,71.26,scattered clouds,39.05,-27.9833,Casa Das Faias
39,Atuona,PF,77.59,few clouds,-9.8,-139.0333,Villa Enata
40,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
41,Trier,DE,85.95,scattered clouds,49.7557,6.6394,Hotel Deutscher Hof Trier
42,Provideniya,RU,50.23,overcast clouds,64.3833,-173.3,
43,Presidencia Roque Saenz Pena,AR,68.13,clear sky,-26.7852,-60.4388,Hotel Gualok
45,Sao Filipe,CV,78.96,broken clouds,14.8961,-24.4956,Hotel Xaguate
47,Rangapara,IN,78.71,clear sky,26.8167,92.65,Bidhan
48,Avarua,CK,69.85,few clouds,-21.2078,-159.775,Paradise Inn
52,Vila Franca Do Campo,PT,75.61,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
53,Port-Cartier,CA,65.75,clear sky,50.0334,-66.8654,Le Q'Artier
55,Eyl,SO,77.63,overcast clouds,7.9803,49.8164,Amiin Hotel
56,Mocuba,MZ,68.0,clear sky,-16.8392,36.9856,Phama Lodge
58,Kangaba,ML,78.71,moderate rain,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
59,Luang Prabang,LA,73.98,overcast clouds,19.8856,102.1347,The Apsara
60,Narsaq,GL,53.82,overcast clouds,60.9167,-46.05,Sleep In Narsaq
61,Chuy,UY,55.63,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
62,Bengkulu,ID,75.38,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
63,Lichinga,MZ,62.69,clear sky,-13.3128,35.2406,Residencial Bendiak
64,Chokurdakh,RU,52.41,clear sky,70.6333,147.9167,
65,Galbshtadt,RU,66.29,overcast clouds,53.2264,78.9845,"Гостевой домик ""Deutscher Hof"""
66,Thompson,CA,70.97,clear sky,55.7435,-97.8558,Burntwood Hotel
68,Torbay,CA,60.28,overcast clouds,47.6666,-52.7314,Gallows Cove
69,Airai,TL,57.65,scattered clouds,-8.9266,125.4092,
70,Butaritari,KI,81.57,light rain,3.0707,172.7902,Isles Sunset Lodge
72,Flinders,AU,53.38,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
73,Vardo,NO,58.98,overcast clouds,70.3705,31.1107,Vardø Hotel AS
74,Road Town,VG,89.69,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
75,Camacha,PT,72.82,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
76,Hirara,JP,84.54,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
77,Yellowknife,CA,59.56,overcast clouds,62.456,-114.3525,The Explorer Hotel
78,Providencia,MX,87.42,overcast clouds,28.7167,-111.5833,
79,Kruisfontein,ZA,54.75,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
81,Arraial Do Cabo,BR,71.56,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
